task,task_label,split_type,split_seed,policy_seed,method,method_label,evidence_status,row_role,eval_status,successes,episodes,success_rate,avg_return,avg_len,endpoint_checkpoint,selected_unlabeled_count,total_train_demos,hidden_positive_selected,hidden_bad_selected,support_purity,hidden_positive_recall,hidden_bad_admission,router_branch,router_reason,estimated_positive_mass,count_ge_pos_min,manifest_path,support_audit_path,hidden_label_audit_path,eval_metrics_path,notes
can_paired,Can 20p/80b,pos20_bad80,11,0,classifier_topk,classifier top-k,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,20,30,11,9,0.550,,,,,,,results/final_paper/per_seed/can_paired_pos20_bad80_split11_classifier_topk_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split11_classifier_topk_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split11_classifier_topk_policy0/hidden_label_audit.csv,,
can_paired,Can 20p/80b,pos20_bad80,11,0,positive_only_nn,positive-only NN,diagnostic_endpoint,diagnostic,endpoint_evaluated,34,50,0.680,0.680,206.800,model_epoch_200,20,30,17,3,0.850,,,,,,,results/final_paper/per_seed/can_paired_pos20_bad80_split11_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split11_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split11_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split11_positive_only_nn_policy0/eval/metrics.csv,
can_paired,Can 20p/80b,pos20_bad80,11,0,triage_bc,TRIAGE-BC,diagnostic_endpoint,diagnostic,endpoint_evaluated,33,50,0.660,0.660,209.840,model_epoch_200,50,60,20,30,0.400,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,41.225,6,results/final_paper/per_seed/can_paired_pos20_bad80_split11_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split11_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split11_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split11_triage_bc_policy0/eval/metrics.csv,
can_paired,Can 20p/80b,pos20_bad80,11,0,weighted_bc,weighted BC,diagnostic_endpoint,diagnostic,endpoint_evaluated,18,50,0.360,0.360,296.860,model_epoch_200,100,110,20,80,0.200,,,,,,,results/final_paper/per_seed/can_paired_pos20_bad80_split11_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split11_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split11_weighted_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split11_weighted_bc_policy0/eval/metrics.csv,
can_paired,Can 20p/80b,pos20_bad80,22,0,positive_only_nn,positive-only NN,diagnostic_endpoint,diagnostic,endpoint_evaluated,20,50,0.400,0.400,290.020,model_epoch_200,20,30,17,3,0.850,,,,,,,results/final_paper/per_seed/can_paired_pos20_bad80_split22_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split22_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split22_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split22_positive_only_nn_policy0/eval_endpoint_200/metrics.csv,
can_paired,Can 20p/80b,pos20_bad80,22,0,triage_bc,TRIAGE-BC,diagnostic_endpoint,diagnostic,endpoint_evaluated,13,50,0.260,0.260,327.700,model_epoch_200,53,63,18,35,0.340,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,52.549,19,results/final_paper/per_seed/can_paired_pos20_bad80_split22_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split22_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split22_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split22_triage_bc_policy0/eval_endpoint_200/metrics.csv,
can_paired,Can 20p/80b,pos20_bad80,22,0,weighted_bc,weighted BC,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,100,110,20,80,0.200,,,,,,,results/final_paper/per_seed/can_paired_pos20_bad80_split22_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split22_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split22_weighted_bc_policy0/hidden_label_audit.csv,,
can_paired,Can 20p/80b,pos20_bad80,33,0,positive_only_nn,positive-only NN,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,20,30,15,5,0.750,,,,,,,results/final_paper/per_seed/can_paired_pos20_bad80_split33_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split33_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split33_positive_only_nn_policy0/hidden_label_audit.csv,,
can_paired,Can 20p/80b,pos20_bad80,33,0,triage_bc,TRIAGE-BC,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,20,30,16,4,0.800,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,32.661,2,results/final_paper/per_seed/can_paired_pos20_bad80_split33_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split33_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split33_triage_bc_policy0/hidden_label_audit.csv,,
can_paired,Can 20p/80b,pos20_bad80,33,0,weighted_bc,weighted BC,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,100,110,20,80,0.200,,,,,,,results/final_paper/per_seed/can_paired_pos20_bad80_split33_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos20_bad80_split33_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos20_bad80_split33_weighted_bc_policy0/hidden_label_audit.csv,,
can_paired,Can 40p/80b,pos40_bad80,11,0,all_train_positive_oracle,all-positive oracle,diagnostic_oracle_endpoint,oracle,endpoint_evaluated,49,50,0.980,0.980,111.200,model_epoch_200,0,90,0,0,0.000,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split11_all_train_positive_oracle_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split11_all_train_positive_oracle_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_all_train_positive_oracle_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_all_train_positive_oracle_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,11,0,bc_all_mixed,all-demo BC,primary_endpoint,primary,endpoint_evaluated,25,50,0.500,0.500,255.540,model_epoch_200,0,180,0,0,0.000,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,11,0,positive_only_nn,positive-only NN,primary_endpoint,primary,endpoint_evaluated,42,50,0.840,0.840,156.400,model_epoch_200,40,50,36,4,0.900,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,11,0,triage_bc,TRIAGE-BC,primary_endpoint,primary,endpoint_evaluated,38,50,0.760,0.760,179.380,model_epoch_200,70,80,40,30,0.571,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,56.262,10,results/final_paper/per_seed/can_paired_pos40_bad80_split11_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split11_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_triage_bc_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,11,0,weighted_bc,weighted BC,primary_endpoint,primary,endpoint_evaluated,36,50,0.720,0.720,192.300,model_epoch_200,120,130,40,80,0.333,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,22,0,all_train_positive_oracle,all-positive oracle,diagnostic_oracle_endpoint,oracle,endpoint_evaluated,49,50,0.980,0.980,111.200,model_epoch_200,0,90,0,0,0.000,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split22_all_train_positive_oracle_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split22_all_train_positive_oracle_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_all_train_positive_oracle_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_all_train_positive_oracle_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,22,0,bc_all_mixed,all-demo BC,primary_endpoint,primary,endpoint_evaluated,28,50,0.560,0.560,239.020,model_epoch_200,0,180,0,0,0.000,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split22_bc_all_mixed_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split22_bc_all_mixed_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_bc_all_mixed_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_bc_all_mixed_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,22,0,positive_only_nn,positive-only NN,primary_endpoint,primary,endpoint_evaluated,38,50,0.760,0.760,178.380,model_epoch_200,40,50,37,3,0.925,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split22_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split22_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_positive_only_nn_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,22,0,triage_bc,TRIAGE-BC,primary_endpoint,primary,endpoint_evaluated,26,50,0.520,0.520,252.900,model_epoch_200,73,83,36,37,0.493,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,68.479,31,results/final_paper/per_seed/can_paired_pos40_bad80_split22_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split22_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_triage_bc_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,22,0,weighted_bc,weighted BC,primary_endpoint,primary,endpoint_evaluated,22,50,0.440,0.440,269.320,model_epoch_200,120,130,40,80,0.333,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split22_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split22_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_weighted_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_weighted_bc_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,33,0,all_train_positive_oracle,all-positive oracle,diagnostic_oracle_endpoint,oracle,endpoint_evaluated,49,50,0.980,0.980,111.200,model_epoch_200,0,90,0,0,0.000,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,33,0,bc_all_mixed,all-demo BC,primary_endpoint,primary,endpoint_evaluated,28,50,0.560,0.560,239.020,model_epoch_200,0,180,0,0,0.000,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,33,0,positive_only_nn,positive-only NN,primary_endpoint,primary,endpoint_evaluated,28,50,0.560,0.560,233.460,model_epoch_200,40,50,33,7,0.825,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,33,0,triage_bc,TRIAGE-BC,primary_endpoint,primary,endpoint_evaluated,35,50,0.700,0.700,201.220,model_epoch_200,47,57,34,13,0.723,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,46.123,4,results/final_paper/per_seed/can_paired_pos40_bad80_split33_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split33_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_triage_bc_policy0/eval/metrics.csv,
can_paired,Can 40p/80b,pos40_bad80,33,0,weighted_bc,weighted BC,primary_endpoint,primary,endpoint_evaluated,32,50,0.640,0.640,217.580,model_epoch_200,120,130,40,80,0.333,,,,,,,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/eval/metrics.csv,
can_paired,Can 80p/80b,balanced_80p80b,11,0,classifier_topk,classifier top-k,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,80,90,63,17,0.787,,,,,,,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_classifier_topk_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_classifier_topk_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_classifier_topk_policy0/hidden_label_audit.csv,,
can_paired,Can 80p/80b,balanced_80p80b,11,0,positive_only_nn,positive-only NN,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,80,90,72,8,0.900,,,,,,,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_positive_only_nn_policy0/hidden_label_audit.csv,,
can_paired,Can 80p/80b,balanced_80p80b,11,0,triage_bc,TRIAGE-BC,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,50,60,43,7,0.860,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,87.715,22,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_triage_bc_policy0/hidden_label_audit.csv,,
can_paired,Can 80p/80b,balanced_80p80b,11,0,weighted_bc,weighted BC,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,160,170,80,80,0.500,,,,,,,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split11_weighted_bc_policy0/hidden_label_audit.csv,,
can_paired,Can 80p/80b,balanced_80p80b,22,0,classifier_topk,classifier top-k,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,80,90,57,23,0.713,,,,,,,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_classifier_topk_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_classifier_topk_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_classifier_topk_policy0/hidden_label_audit.csv,,
